Comment,Designator,Footprint,LCSC,Quantity
GPIO,J2,IDC-Header_2x17_P2.54mm_Horizontal,C79866,1
R05,J10,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
3.3V_RAIL,J4,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R08,J13,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R00,J14,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R02,J7,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
GND_RAIL,J3,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R04,J9,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R03,J8,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R06,J11,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R07,J12,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R01,J6,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R00,J5,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
IDC_CONNECTOR,J1,PinHeader_1x27_P2.54mm_Vertical,,1
R07,J21,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R03,J17,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R05,J19,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R06,J20,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R01,J15,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R04,J18,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R08,J22,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
5V_RAIL,J24,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
GND_RAIL,J23,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
R02,J16,KLST_PinHeader_1x57_P2.54mm_Vertical,,1
